Date,Close,High,Low,Open,Volume
2025-05-12,156.21,156.89,142.57,148.94,12000800
2025-05-13,191.6,195.44,175.24,176.12,20211200
2025-05-14,192.98,198.87,186.85,190.48,8542900
2025-05-15,186.18,190.83,180.92,190.5,5979100
2025-05-16,178.46,188.0,175.57,187.3,5256300
2025-05-19,164.92,174.08,160.78,171.4,10873000
2025-05-20,167.22,172.89,164.7,165.37,6089900
2025-05-21,163.37,164.82,159.61,161.65,4896000
2025-05-22,156.35,161.0,152.72,159.95,7911900
2025-05-23,158.38,161.62,152.59,154.01,3562500
2025-05-27,155.73,158.69,153.78,158.55,3835200
2025-05-28,156.45,157.33,153.87,155.51,2221600
2025-05-29,155.95,159.38,153.77,158.0,2514000
2025-05-30,158.08,160.64,154.2,155.75,5258100
2025-06-02,149.65,158.82,148.8,158.21,4165200
2025-06-03,159.37,159.65,145.89,149.08,4474600
2025-06-04,159.81,163.17,156.25,159.9,3033800
2025-06-05,163.84,167.2,157.76,160.65,3604500
2025-06-06,166.35,166.92,162.5,165.14,2121600
2025-06-09,160.16,168.63,160.09,167.85,2601400
2025-06-10,164.62,164.94,159.85,162.47,3025200
2025-06-11,167.86,174.43,166.72,170.0,3617600
2025-06-12,167.83,168.94,163.76,167.52,2120800
2025-06-13,175.2,179.5,164.1,164.63,4466800
2025-06-16,175.25,177.63,169.63,176.32,4928900
2025-06-17,143.9,146.93,135.5,137.95,20640000
2025-06-18,143.67,150.75,141.5,143.71,7610700
2025-06-20,145.0,147.73,143.8,144.0,5074300
2025-06-23,144.67,147.0,139.26,144.3,3708200
2025-06-24,151.18,153.49,142.84,145.94,5149100
2025-06-25,152.7,152.97,147.3,152.0,3386700
2025-06-26,155.63,158.99,154.0,156.81,4127900
2025-06-27,152.14,158.19,149.54,156.37,4371600
2025-06-30,165.54,167.79,159.52,161.63,7938500
2025-07-01,162.96,169.63,158.81,165.02,6575500
2025-07-02,170.52,178.31,164.71,165.0,6332300
2025-07-03,185.03,189.5,177.85,178.0,6399700
2025-07-07,177.06,183.88,175.35,183.0,3697400
2025-07-08,165.48,172.62,165.15,168.32,4965800
2025-07-09,165.99,167.24,163.19,165.3,2979100
2025-07-10,165.09,168.48,164.6,166.59,3018200
2025-07-11,162.44,165.64,161.76,163.6,2136800
2025-07-14,160.84,165.15,159.85,162.5,1911500
2025-07-15,171.93,172.8,165.89,167.34,4188700
2025-07-16,166.82,173.37,165.57,172.1,3211800
2025-07-17,173.54,175.85,167.6,167.74,3650200
2025-07-18,175.85,177.23,171.86,173.4,2611600
2025-07-21,178.33,181.25,175.2,176.93,2298200
2025-07-22,179.99,181.06,175.53,178.34,1944900
2025-07-23,179.77,181.88,176.88,180.68,1894400
2025-07-24,180.72,181.99,177.06,180.29,2046700
2025-07-25,185.32,186.81,179.32,180.05,2048000
2025-07-28,183.58,184.89,180.32,183.75,2622100
2025-07-29,181.82,184.51,180.93,183.58,1584800
2025-07-30,179.13,183.0,176.62,181.99,2300800
2025-07-31,174.73,179.89,171.99,179.89,3571200
2025-08-01,183.97,189.63,179.0,186.34,5804800
2025-08-04,183.42,186.25,181.47,184.3,2150500
2025-08-05,186.84,188.83,181.3,183.06,2510800
2025-08-06,185.01,190.0,183.5,186.72,1758600
2025-08-07,185.6,190.66,185.22,187.57,2216000
2025-08-08,184.65,188.5,183.78,187.39,1631100
2025-08-11,182.13,187.52,181.52,184.28,1508800
2025-08-12,184.73,187.77,181.52,184.29,2018200
2025-08-13,184.84,192.54,183.2,185.36,2837900
2025-08-14,180.05,183.04,176.47,182.19,2514600
2025-08-15,199.95,206.6,179.06,182.12,10932500
2025-08-18,219.33,221.5,209.5,209.68,9507100
2025-08-19,210.96,219.65,208.51,215.33,4568600
2025-08-20,206.44,212.99,205.26,208.67,3045800
2025-08-21,192.0,204.6,191.4,204.6,5222700
2025-08-22,202.28,203.16,191.1,194.15,4433100
2025-08-25,199.44,201.5,195.12,200.0,1937400
2025-08-26,196.72,201.0,195.79,198.97,2297200
2025-08-27,191.23,196.71,191.05,195.09,2030800
2025-08-28,197.02,199.78,192.93,193.75,2017200
2025-08-29,195.19,199.8,195.04,197.15,1397700
2025-09-02,195.78,196.25,187.64,190.15,1935200
2025-09-03,201.49,203.03,194.3,195.83,2546800
2025-09-04,201.87,204.2,197.5,202.4,1741100
2025-09-05,205.14,213.25,199.3,206.27,3066300
2025-09-08,203.21,206.64,198.95,206.25,2450300
2025-09-09,203.06,207.23,197.8,204.1,1846800
2025-09-10,203.79,209.13,201.25,203.75,1692100
2025-09-11,203.31,208.8,202.58,204.36,1653100
2025-09-12,201.7,205.44,201.59,203.54,1239000
2025-09-15,207.0,207.79,196.8,201.81,1925600
2025-09-16,205.25,208.44,203.99,207.38,1847100
2025-09-17,210.71,215.25,204.25,205.97,2656800
2025-09-18,209.63,212.66,206.93,211.0,2331200
2025-09-19,212.49,216.7,209.12,211.01,3860600
2025-09-22,219.2,219.84,211.5,213.23,2692500
2025-09-23,215.73,223.49,215.39,220.0,2479500
2025-09-24,219.17,228.34,217.5,217.5,2818800
2025-09-25,223.05,225.32,211.01,214.69,2051700
2025-09-26,220.02,223.39,218.66,221.25,1880500
2025-09-29,223.53,226.93,221.75,222.11,1886400
2025-09-30,220.53,224.32,218.03,223.69,1707200
2025-10-01,224.82,229.11,221.41,221.78,2625700
2025-10-02,232.13,234.01,227.5,230.02,2773100
2025-10-03,230.13,235.87,226.72,232.25,2191300
2025-10-06,229.57,235.58,227.77,231.52,2030600
2025-10-07,227.89,231.0,225.5,229.57,1416900
2025-10-08,231.37,233.0,227.91,229.31,1127800
2025-10-09,234.3,237.2,228.9,231.17,1517600
2025-10-10,225.91,234.42,224.0,232.9,2180600
2025-10-13,226.15,235.88,224.16,227.89,2278400
